"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000004897",134.03540773541,-8.79611475481954,2.15394542485284,-4.08372220267396,4.43200095470937e-05,0.0190354441004767
"ENSG00000018236",97.1029315908557,-9.20678758105236,2.22751493608964,-4.13321025681413,3.57731189726814e-05,0.0182712651888729
"ENSG00000057294",62.3710516614385,-8.61494792686412,2.28242987525902,-3.77446335602598,0.000160352475504941,0.0451148051135468
"ENSG00000079950",128.027140451674,-7.33099688007577,1.9496719057038,-3.76011823252354,0.000169833071026543,0.0451148051135468
"ENSG00000104881",80.0829204525028,8.2172949235963,2.19697732579862,3.7402729773778,0.000183820509775802,0.0451148051135468
"ENSG00000108379",93.0905848387895,-8.77465329181587,2.28232453220329,-3.84461244139766,0.000120743112230956,0.0414873333625567
"ENSG00000108666",124.189262913664,-7.696490633617,2.021583614914,-3.80715918789458,0.000140572265967974,0.0451148051135468
"ENSG00000109084",63.7155935955332,-9.5484349448851,2.45230999799679,-3.89364923385905,9.87474068758519e-05,0.0363531525027243
"ENSG00000121210",77.4750462008614,-23.3894385038465,2.96868876392836,-7.8787102198265,3.30777619911438e-15,3.80214420063685e-12
"ENSG00000135968",86.0330905275174,-7.49666240923995,1.91454857501418,-3.91562925437106,9.0168720930914e-05,0.0357484298213793
"ENSG00000136925",100.173546419516,-23.7375746320537,2.9673980702895,-7.99945746063584,1.24968614074395e-15,3.22044118469716e-12
"ENSG00000155304",97.4538604438758,22.7481374391977,2.97064536310596,7.65764157570575,1.89378531818704e-14,1.62676158832267e-11
"ENSG00000163209",81.9597102692922,21.0486881602617,2.9714712487396,7.08359139237502,1.40465681214753e-12,9.13846088983655e-10
"ENSG00000164120",98.8735154468723,9.95803824318669,2.42090665011854,4.11335077405777,3.89957153817621e-05,0.0182712651888729
"ENSG00000165899",98.2976373105361,-23.4090049848512,2.96733883419636,-7.88888842591212,3.04889949729061e-15,3.80214420063685e-12
"ENSG00000170477",82.3941256947478,21.0443513179176,2.97142744235456,7.0822363076926,1.41846501976508e-12,9.13846088983655e-10
"ENSG00000175970",161.094019860276,-10.8873898503074,2.61362783102393,-4.16562362899315,3.10502601005862e-05,0.0177814489509357
"ENSG00000178761",110.8662283407,-23.8826470509706,2.96805051886568,-8.04657700371555,8.51418239627247e-16,3.22044118469716e-12
"ENSG00000184564",75.0363643591878,-23.3524306340176,2.96912716130129,-7.8650826877293,3.68853725323714e-15,3.80214420063685e-12
"ENSG00000188647",119.233018757288,-9.13417822472812,2.43993460480984,-3.74361599967554,0.000181390802030559,0.0451148051135468
"ENSG00000198146",71.826264926573,9.49193385147252,2.51839719846501,3.76903764714238,0.000163878171234682,0.0451148051135468
